document,title,document_ru,document_type,source,document_length,question,correct_answer,question_ru,answer_ru,is_test_case,question_length,question_type,answer,answer_length,answer_to_document_ratio
"Ламашту (аккад.), в аккадской мифологии (с кон. 2-го тыс. до н. э.) — львиноголовая женщина-демон, поднимающаяся из подземного мира, насылающая на людей болезни, похищающая детей; демон детских болезней. В шумерской мифологии ей приблизительно соответствовала Димме.
 Аккадское заклинание и ритуал против Ламашту описывается в Texte aus der Umwelt des Alten Testaments vol. 2 (1988)[1] Ритуал трактуется исследователями как «заклинание, чтобы рассеять стойкую лихорадку и Ламашту». В предписанном ритуале используется фигурка Ламашту. Перед фигуркой нужно положить жертву из хлеба и полить её водой. Необходимо заставить черную собаку носить фигурку. Затем его кладут возле головы больного ребенка на три дня, а ему в рот кладут сердце поросенка. Заклинание необходимо произносить три раза в день, помимо дальнейших жертвоприношений. С наступлением сумерек на третий день фигурку выносят на улицу и закапывают у стены.
 Ламашту часто изображали в виде мифологического гибрида с волосатым телом, головой львицы с ослиными зубами и ушами, длинными пальцами и ногтями и ногами птицы с острыми когтями. Её часто также изображают стоящей или стоящей на коленях на осле, кормящей свинью и собаку и держащей змей. Таким образом, она имеет некоторые функции и сходство с месопотамским демоном Лилит. Её атрибутами нередко являются гребень и веретено.
",Ламашту,"Ламашту (аккад.), в аккадской мифологии (с кон. 2-го тыс. до н. э.) — львиноголовая женщина-демон, поднимающаяся из подземного мира, насылающая на людей болезни, похищающая детей; демон детских болезней. В шумерской мифологии ей приблизительно соответствовала Димме.
 Аккадское заклинание и ритуал против Ламашту описывается в Texte aus der Umwelt des Alten Testaments vol. 2 (1988)[1] Ритуал трактуется исследователями как «заклинание, чтобы рассеять стойкую лихорадку и Ламашту». В предписанном ритуале используется фигурка Ламашту. Перед фигуркой нужно положить жертву из хлеба и полить её водой. Необходимо заставить черную собаку носить фигурку. Затем его кладут возле головы больного ребенка на три дня, а ему в рот кладут сердце поросенка. Заклинание необходимо произносить три раза в день, помимо дальнейших жертвоприношений. С наступлением сумерек на третий день фигурку выносят на улицу и закапывают у стены.
 Ламашту часто изображали в виде мифологического гибрида с волосатым телом, головой львицы с ослиными зубами и ушами, длинными пальцами и ногтями и ногами птицы с острыми когтями. Её часто также изображают стоящей или стоящей на коленях на осле, кормящей свинью и собаку и держащей змей. Таким образом, она имеет некоторые функции и сходство с месопотамским демоном Лилит. Её атрибутами нередко являются гребень и веретено.
",wikipedia,Wikipedia_new,1343,,,,,,,,,0,0.0
"Саитбатталово (Куяндар) — упразднённая в 1986 году деревня Иткуловского 2-й сельсовета Баймакского района Башкирской АССР. 
 Находился при р. Сакмагуш (приток р. Тавла (Таула)).
 Первое название — по имени первопоселенца Саитбаттала Искужина (дети Мурзабулат, Саитягафар). Второе название произошло, как полагает З. Л. Асфандияров, от названия группы семей — «ара».
",Саитбатталово,"Саитбатталово (Куяндар) — упразднённая в 1986 году деревня Иткуловского 2-й сельсовета Баймакского района Башкирской АССР. 
 Находился при р. Сакмагуш (приток р. Тавла (Таула)).
 Первое название — по имени первопоселенца Саитбаттала Искужина (дети Мурзабулат, Саитягафар). Второе название произошло, как полагает З. Л. Асфандияров, от названия группы семей — «ара».
",wikipedia,Wikipedia_new,366,,,,,,,,,0,0.0
"Каирская пятиугольная мозаика является двойственной полуправильной мозаикой на плоскости. Мозаика получила такое название по египетскому городу Каир, улицы которого вымощены такими плитками[1][2]. Мозаика является одной из 15 известных равногранных (то есть имеющих грани только одного вида) пятиугольных мозаик.
 Мозаика также называется сетью Макмагона[3] по имени Перси Александра Макмагона[англ.], опубликовавшего в 1921 году статью «New Mathematical Pastimes» (Новые математические развлечения)[4].
 Конвей называет мозаику 4-fold pentille (4-кратный пятипаркет)[5].
",Каирская пятиугольная мозаика,"Каирская пятиугольная мозаика является двойственной полуправильной мозаикой на плоскости. Мозаика получила такое название по египетскому городу Каир, улицы которого вымощены такими плитками[1][2]. Мозаика является одной из 15 известных равногранных (то есть имеющих грани только одного вида) пятиугольных мозаик.
 Мозаика также называется сетью Макмагона[3] по имени Перси Александра Макмагона[англ.], опубликовавшего в 1921 году статью «New Mathematical Pastimes» (Новые математические развлечения)[4].
 Конвей называет мозаику 4-fold pentille (4-кратный пятипаркет)[5].
",wikipedia,Wikipedia_new,572,,,,,,,,,0,0.0
"Каза́нцево — деревня в Барабинском районе Новосибирской области. Входит в состав Зюзинского сельсовета.
 Расположена на северном побережье озера Чаны.
 Площадь деревни — 118 гектаров[2]
",Казанцево (Новосибирская область),"Каза́нцево — деревня в Барабинском районе Новосибирской области. Входит в состав Зюзинского сельсовета.
 Расположена на северном побережье озера Чаны.
 Площадь деревни — 118 гектаров[2]
",wikipedia,Wikipedia_new,186,,,,,,,,,0,0.0
"Обчугский сельсовет (бел. Абчугскі сельсавет) — упразднённая административная единица на территории Крупского района Минской области Белоруссии.
 Образован 24 июня 1924 года в составе Черейского района Борисовского округа Белорусской ССР[1]. В 1954 году сельсовету переданы все населённые пункты Смородинского сельского совета Крупского района. В 1977 году в состав сельсовета включена часть населённых пунктов Бобрского сельсовета. Согласно решению Минского областного Совета Депутатов от 28 мая 2013 Обчугский сельский совет упразднён, населённые пункты переданы в Октябрьский сельсовет[2].
 Обчугский сельсовет включал 26 населённых пунктов:
",Обчугский сельсовет,"Обчугский сельсовет (бел. Абчугскі сельсавет) — упразднённая административная единица на территории Крупского района Минской области Белоруссии.
 Образован 24 июня 1924 года в составе Черейского района Борисовского округа Белорусской ССР[1]. В 1954 году сельсовету переданы все населённые пункты Смородинского сельского совета Крупского района. В 1977 году в состав сельсовета включена часть населённых пунктов Бобрского сельсовета. Согласно решению Минского областного Совета Депутатов от 28 мая 2013 Обчугский сельский совет упразднён, населённые пункты переданы в Октябрьский сельсовет[2].
 Обчугский сельсовет включал 26 населённых пунктов:
",wikipedia,Wikipedia_new,645,,,,,,,,,0,0.0
"Полиполия — ситуация, когда на рынке действует неограниченное количество продавцов и неограниченное количество покупателей (при минимальном количестве крупных продавцов) и при этом полностью действуют законы конкуренции («Невидимой руки» Адама Смита).
 В отличие от монополии, при которой существует единственный поставщик уникального товара, услуг или вида деятельности при множестве покупателей, и олигополии, при которой на рынке доминирует небольшое количество продавцов, при полиполии имеется множество продавцов (поставщиков) и множество покупателей (потребителей). Тем не менее, соотношение количества как тех, так и других достаточно для поддержания конкуренции.
",Полиполия,"Полиполия — ситуация, когда на рынке действует неограниченное количество продавцов и неограниченное количество покупателей (при минимальном количестве крупных продавцов) и при этом полностью действуют законы конкуренции («Невидимой руки» Адама Смита).
 В отличие от монополии, при которой существует единственный поставщик уникального товара, услуг или вида деятельности при множестве покупателей, и олигополии, при которой на рынке доминирует небольшое количество продавцов, при полиполии имеется множество продавцов (поставщиков) и множество покупателей (потребителей). Тем не менее, соотношение количества как тех, так и других достаточно для поддержания конкуренции.
",wikipedia,Wikipedia_new,671,,,,,,,,,0,0.0
"Короткопалая пищуха, или садовая пищуха[1] (Certhia brachydactyla), — вид певчих птиц семейства пищуховых.
 Короткопалая пищуха настолько похожа на свою родственницу, обыкновенную пищуху, что их едва ли можно отличить друг от друга. Она достигает величины 12 см и весит около 11 г. Её острый клюв выгнут вниз и достигает длины 12 мм. Нижняя сторона тела белая, верхняя сторона по окраске напоминает древесную кору, от глаз идёт назад светлая полоска. Самцы и самки окрашены одинаково. Относительно длинный хвост служит для опоры, а также для управления в полёте. Звук, издаваемый короткопалой пищухой, звучит примерно как «тих-тих».
 В отличие от своего близкого сородича, короткопалая пищуха предпочитает лиственные леса, парки и сады с фруктоносными деревьями. Её ареал простирается на протяжении всего года от Европы до Северной Африки.
",Короткопалая пищуха,"Короткопалая пищуха, или садовая пищуха[1] (Certhia brachydactyla), — вид певчих птиц семейства пищуховых.
 Короткопалая пищуха настолько похожа на свою родственницу, обыкновенную пищуху, что их едва ли можно отличить друг от друга. Она достигает величины 12 см и весит около 11 г. Её острый клюв выгнут вниз и достигает длины 12 мм. Нижняя сторона тела белая, верхняя сторона по окраске напоминает древесную кору, от глаз идёт назад светлая полоска. Самцы и самки окрашены одинаково. Относительно длинный хвост служит для опоры, а также для управления в полёте. Звук, издаваемый короткопалой пищухой, звучит примерно как «тих-тих».
 В отличие от своего близкого сородича, короткопалая пищуха предпочитает лиственные леса, парки и сады с фруктоносными деревьями. Её ареал простирается на протяжении всего года от Европы до Северной Африки.
",wikipedia,Wikipedia_new,840,,,,,,,,,0,0.0
"Ива́н Алексе́евич Га́рднер (нем. Johann von Gardner, в монашестве Фили́пп; 10 (22) декабря 1898 (1898-12-22), Севастополь — 26 февраля 1984, Мюнхен) — историк, исследователь русского церковного пения, православный регент. В 1942—1944 годах — епископ Потсдамский Филипп, викарий Берлинской епархии Русской Зарубежной Церкви.
 Начальное образование получил дома, где его воспитанием занимались гувернантки-француженки. С малых лет овладел французским языком, на котором говорила и его мать[1]. Церковным пением — практически и теоретически — занимался с 14-летнего возраста. В России окончил регентские курсы.
 В эмиграции с 1920 года. В 1922 году поступил на православный богословский факультет Белградского университета. Во время учёбы в университете уделял много времени изучению литургики и духовной музыки. Одновременно с университетом, проходил курс музыкальной школы (хоровое дело, композиция). 27 февраля 1928 года защитил диплом на богословском факультете[2].
","Гарднер, Иван Алексеевич","Ива́н Алексе́евич Га́рднер (нем. Johann von Gardner, в монашестве Фили́пп; 10 (22) декабря 1898 (1898-12-22), Севастополь — 26 февраля 1984, Мюнхен) — историк, исследователь русского церковного пения, православный регент. В 1942—1944 годах — епископ Потсдамский Филипп, викарий Берлинской епархии Русской Зарубежной Церкви.
 Начальное образование получил дома, где его воспитанием занимались гувернантки-француженки. С малых лет овладел французским языком, на котором говорила и его мать[1]. Церковным пением — практически и теоретически — занимался с 14-летнего возраста. В России окончил регентские курсы.
 В эмиграции с 1920 года. В 1922 году поступил на православный богословский факультет Белградского университета. Во время учёбы в университете уделял много времени изучению литургики и духовной музыки. Одновременно с университетом, проходил курс музыкальной школы (хоровое дело, композиция). 27 февраля 1928 года защитил диплом на богословском факультете[2].
",wikipedia,Wikipedia_new,967,,,,,,,,,0,0.0
"Созве́здия Ве́йгеля — созвездия, предложенные немецким учёным XVII века Эрхардом Вейгелем. Ныне не используются.
 В 1688 году Эрхард Вейгель предложил заменить все созвездия на гербы современных ему царствующих домов. В 1688—1689 годах он издал ряд работ[1], посвящённых этой реформе и известных под общим названием «Небесная Геральдика» (лат. Coelum Heraldicum). В 1699 году Вейгель сконструировал небесный глобус, на котором вместо созвездий были гербы[2]. Известно несколько экземпляров глобуса Вейгеля разного размера и с разными особенностями[3].
 Так, Большая Медведица у Вейгеля стала Слоном (датским), Орион — Двуглавым орлом (австрийским), Геркулес — Всадником с обнажённым мечом (польским)[1][4]. Вейгель старался располагать гербы на небесной сфере в соответствии с расположением стран на Земле[4].
",Созвездия Вейгеля,"Созве́здия Ве́йгеля — созвездия, предложенные немецким учёным XVII века Эрхардом Вейгелем. Ныне не используются.
 В 1688 году Эрхард Вейгель предложил заменить все созвездия на гербы современных ему царствующих домов. В 1688—1689 годах он издал ряд работ[1], посвящённых этой реформе и известных под общим названием «Небесная Геральдика» (лат. Coelum Heraldicum). В 1699 году Вейгель сконструировал небесный глобус, на котором вместо созвездий были гербы[2]. Известно несколько экземпляров глобуса Вейгеля разного размера и с разными особенностями[3].
 Так, Большая Медведица у Вейгеля стала Слоном (датским), Орион — Двуглавым орлом (австрийским), Геркулес — Всадником с обнажённым мечом (польским)[1][4]. Вейгель старался располагать гербы на небесной сфере в соответствии с расположением стран на Земле[4].
",wikipedia,Wikipedia_new,810,,,,,,,,,0,0.0
"Торрацца-Пьемонте (итал. Torrazza Piemonte) — коммуна в Италии, располагается в регионе Пьемонт, в провинции Турин.
 Население составляет 2373 человека (2008 г.), плотность населения составляет 264 чел./км². Занимает площадь 9 км². Почтовый индекс — 10037. Телефонный код — 011.
 Покровителем коммуны почитается святой апостол Иаков Старший, празднование 25 июля.
",Торрацца-Пьемонте,"Торрацца-Пьемонте (итал. Torrazza Piemonte) — коммуна в Италии, располагается в регионе Пьемонт, в провинции Турин.
 Население составляет 2373 человека (2008 г.), плотность населения составляет 264 чел./км². Занимает площадь 9 км². Почтовый индекс — 10037. Телефонный код — 011.
 Покровителем коммуны почитается святой апостол Иаков Старший, празднование 25 июля.
",wikipedia,Wikipedia_new,364,,,,,,,,,0,0.0
"Джеймс Га́рфилд Га́рдинер (англ. James Garfield Gardiner, 30 ноября 1883 (1883-11-30) — 2 января 1962) — канадский фермер и политик. Дважды был премьер-министром Саскачевана, а также членом Кабинета министров Канады.
 В 1914 году Гардинер был впервые избран в Законодательное собрание Саскачевана[англ.] и работал министром дорожного строительства (1922—1926) в правительстве Чарльза Э. Даннинга. Затем в 1926 году он сменил Даннинга на посту премьер-министра.
 Активно поддерживая федеральных либералов, его правительство в 1929 потеряло большинство в законодательном органе из-за патронажного скандала. Хотя Консервативная партия заняла меньше мест, ей всё же удалось сформировать «коалиционное правительство» при поддержке некоторых членов Прогрессивной партии и независимых депутатов Законодательного собрания.
","Гардинер, Джеймс Гарфилд","Джеймс Га́рфилд Га́рдинер (англ. James Garfield Gardiner, 30 ноября 1883 (1883-11-30) — 2 января 1962) — канадский фермер и политик. Дважды был премьер-министром Саскачевана, а также членом Кабинета министров Канады.
 В 1914 году Гардинер был впервые избран в Законодательное собрание Саскачевана[англ.] и работал министром дорожного строительства (1922—1926) в правительстве Чарльза Э. Даннинга. Затем в 1926 году он сменил Даннинга на посту премьер-министра.
 Активно поддерживая федеральных либералов, его правительство в 1929 потеряло большинство в законодательном органе из-за патронажного скандала. Хотя Консервативная партия заняла меньше мест, ей всё же удалось сформировать «коалиционное правительство» при поддержке некоторых членов Прогрессивной партии и независимых депутатов Законодательного собрания.
",wikipedia,Wikipedia_new,815,,,,,,,,,0,0.0
"Дашбулаг (азерб. Daşbulaq), в советских русскоязычных источниках также Дашбулак[2], — село в Ходжалинском районе Азербайджана, является центром Дашбулагского сельского административно-территориального округа[3][4].
 По мнению Карла Гана, название «Дашъ-булагъ» означает каменный родник, и происходит от слов «даш» (азерб. داش) — «камень» и «булаҕ» (بولاق) — «родник»[5][привести цитату? 1455 дней].
 Село Дашбулаг является центром Дашбулагского сельского административно-территориального округа Ходжалинского района, при этом в состав этого сельского административно-территориального округа входят также и сёла Бадара, Ханъери, Гаябашы, Сунджинка[3][4].
",Дашбулаг (Ходжалинский район),"Дашбулаг (азерб. Daşbulaq), в советских русскоязычных источниках также Дашбулак[2], — село в Ходжалинском районе Азербайджана, является центром Дашбулагского сельского административно-территориального округа[3][4].
 По мнению Карла Гана, название «Дашъ-булагъ» означает каменный родник, и происходит от слов «даш» (азерб. داش) — «камень» и «булаҕ» (بولاق) — «родник»[5][привести цитату? 1455 дней].
 Село Дашбулаг является центром Дашбулагского сельского административно-территориального округа Ходжалинского района, при этом в состав этого сельского административно-территориального округа входят также и сёла Бадара, Ханъери, Гаябашы, Сунджинка[3][4].
",wikipedia,Wikipedia_new,654,,,,,,,,,0,0.0
"«Верса́льский рома́н» (англ. A Little Chaos — дословно «Небольшой хаос») — британская костюмированная историческая драма 2014 года, повествующая об эпохе правления во Франции Людовика XIV по прозвищу «король-солнце». Фильм был срежиссирован Аланом Рикманом, который также снялся в роли короля. Премьера состоялась на 39-м фестивале в Торонто в сентябре 2014.
 Король Франции Людовик XIV решает перенести свою резиденцию из парижского замка Лувр в строящийся в пригороде Парижа Версаль. В этом ему помогают его придворные архитекторы и садовники, в числе которых оказывается мадам Сабин де Барра — мастер садового искусства. В фильме повествуется о том, как никому не известная до сих пор при дворе садовница получает должность у «короля-солнца» при создании паркового ансамбля Версаля и как ей удаётся весьма успешно справиться с поставленной задачей, преодолевая погодные и географические условия, тернии придворного общества и запретную любовь.
",Версальский роман,"«Верса́льский рома́н» (англ. A Little Chaos — дословно «Небольшой хаос») — британская костюмированная историческая драма 2014 года, повествующая об эпохе правления во Франции Людовика XIV по прозвищу «король-солнце». Фильм был срежиссирован Аланом Рикманом, который также снялся в роли короля. Премьера состоялась на 39-м фестивале в Торонто в сентябре 2014.
 Король Франции Людовик XIV решает перенести свою резиденцию из парижского замка Лувр в строящийся в пригороде Парижа Версаль. В этом ему помогают его придворные архитекторы и садовники, в числе которых оказывается мадам Сабин де Барра — мастер садового искусства. В фильме повествуется о том, как никому не известная до сих пор при дворе садовница получает должность у «короля-солнца» при создании паркового ансамбля Версаля и как ей удаётся весьма успешно справиться с поставленной задачей, преодолевая погодные и географические условия, тернии придворного общества и запретную любовь.
",wikipedia,Wikipedia_new,947,,,,,,,,,0,0.0
"Филип Уде (хорв. Filip Ude, р.3 июня 1986) — хорватский гимнаст, призёр чемпионатов мира, Европы и Олимпийских игр.
 Родился в 1986 году в Чаковце. В 2008 году на Олимпийских играх в Пекине завоевал серебряную медаль в упражнениях на коне, в этом же году стал серебряным призёром чемпионата Европы. В 2009 году завоевал серебряную медаль Средиземноморских игр. В 2010 году занял 5-е место на чемпионате мира. В 2012 году принял участие в Олимпийских играх в Лондоне, но не прошёл квалификацию. В 2014 году стал серебряным призёром чемпионата мира.
","Уде, Филип","Филип Уде (хорв. Filip Ude, р.3 июня 1986) — хорватский гимнаст, призёр чемпионатов мира, Европы и Олимпийских игр.
 Родился в 1986 году в Чаковце. В 2008 году на Олимпийских играх в Пекине завоевал серебряную медаль в упражнениях на коне, в этом же году стал серебряным призёром чемпионата Европы. В 2009 году завоевал серебряную медаль Средиземноморских игр. В 2010 году занял 5-е место на чемпионате мира. В 2012 году принял участие в Олимпийских играх в Лондоне, но не прошёл квалификацию. В 2014 году стал серебряным призёром чемпионата мира.
",wikipedia,Wikipedia_new,548,,,,,,,,,0,0.0
"Искусственный интеллект (ИИ) — это способность компьютерных систем выполнять задачи, которые обычно требуют человеческого интеллекта. Сюда входят обучение, рассуждение, решение проблем, понимание языка и восприятие.",,"Искусственный интеллект (ИИ) — это способность компьютерных систем выполнять задачи, которые обычно требуют человеческого интеллекта. Сюда входят обучение, рассуждение, решение проблем, понимание языка и восприятие.",test_case,validation,215,,"Искусственный интеллект (ИИ) — это способность компьютерных систем выполнять задачи, которые обычно требуют человеческого интеллекта.",Что такое Искусственный интеллект?,,True,34.0,factual,,0,0.0
"Искусственный интеллект (ИИ) — это способность компьютерных систем выполнять задачи, которые обычно требуют человеческого интеллекта. Сюда входят обучение, рассуждение, решение проблем, понимание языка и восприятие.",,"Искусственный интеллект (ИИ) — это способность компьютерных систем выполнять задачи, которые обычно требуют человеческого интеллекта. Сюда входят обучение, рассуждение, решение проблем, понимание языка и восприятие.",test_case,validation,215,,"Сюда входят обучение, рассуждение, решение проблем, понимание языка и восприятие.",Какие основные задачи включает Искусственный интеллект?,,True,55.0,descriptive,,0,0.0
"Глубокое обучение — подраздел машинного обучения, основанный на искусственных нейронных сетях с многими слоями. Оно позволяет моделям обучаться представлению данных с несколькими уровнями абстракции.",,"Глубокое обучение — подраздел машинного обучения, основанный на искусственных нейронных сетях с многими слоями. Оно позволяет моделям обучаться представлению данных с несколькими уровнями абстракции.",test_case,validation,199,,"Глубокое обучение — подраздел машинного обучения, основанный на искусственных нейронных сетях с многими слоями.",Что такое Глубокое обучение?,,True,28.0,factual,,0,0.0
"Глубокое обучение — подраздел машинного обучения, основанный на искусственных нейронных сетях с многими слоями. Оно позволяет моделям обучаться представлению данных с несколькими уровнями абстракции.",,"Глубокое обучение — подраздел машинного обучения, основанный на искусственных нейронных сетях с многими слоями. Оно позволяет моделям обучаться представлению данных с несколькими уровнями абстракции.",test_case,validation,199,,Информация не представлена в тексте.,Какие основные задачи включает Глубокое обучение?,,True,49.0,descriptive,,0,0.0
"Обработка естественного языка (NLP) — область искусственного интеллекта, которая фокусируется на взаимодействии между компьютерами и человеческим языком. Основные задачи включают понимание текста, генерацию текста и перевод.",,"Обработка естественного языка (NLP) — область искусственного интеллекта, которая фокусируется на взаимодействии между компьютерами и человеческим языком. Основные задачи включают понимание текста, генерацию текста и перевод.",test_case,validation,224,,"Обработка естественного языка (NLP) — область искусственного интеллекта, которая фокусируется на взаимодействии между компьютерами и человеческим языком.",Что такое Обработка естественного?,,True,34.0,factual,,0,0.0
"Обработка естественного языка (NLP) — область искусственного интеллекта, которая фокусируется на взаимодействии между компьютерами и человеческим языком. Основные задачи включают понимание текста, генерацию текста и перевод.",,"Обработка естественного языка (NLP) — область искусственного интеллекта, которая фокусируется на взаимодействии между компьютерами и человеческим языком. Основные задачи включают понимание текста, генерацию текста и перевод.",test_case,validation,224,,"Основные задачи включают понимание текста, генерацию текста и перевод.",Какие основные задачи включает Обработка естественного?,,True,55.0,descriptive,,0,0.0
