document,question,answer,source,document_type,document_length,question_length,answer_length,answer_to_document_ratio,question_ru,answer_ru,document_ru,question_type
"we consider estimation of the structural distribution function of the cell
probabilities of a multinomial sample in situations where the number of cells
is large. we review the performance of the natural estimator, an estimator
based on grouping the cells and a kernel type estimator. inconsistency of the
natural estimator and weak consistency of the other two estimators is derived
by poissonization and other, new, technical devices.",what is the main topic of the paper titled 'estimating the structural distribution function of cell probabilities'?,"we consider estimation of the structural distribution function of the cell
probabilities of a multinomial sample in situations where the number of cells
is large.",arXiv,Scientific Abstract,436,115,162,0.37155963302752293,"Какова основная тема документа, озаглавленного ""оценка структурной функции распределения вероятностей в клетках""?","Мы рассматриваем вопрос об оценке структурной распределительной функции клеток вероятностей мультиномной выборки в ситуациях, когда количество клеток является большим.","Мы рассматриваем оценку функции структурного распределения клеточной вероятности мультиномной выборки в ситуациях, когда количество клеток является большим. Мы анализируем эффективность естественной оценки, оценки на основе группирования клеток и оценки типа ядра. Несоответствие естественной оценки и слабое последовательность двух других оценочных параметров высвечивается путем паизоляции и других, новых, технических устройств.",как
"we consider estimation of the structural distribution function of the cell
probabilities of a multinomial sample in situations where the number of cells
is large. we review the performance of the natural estimator, an estimator
based on grouping the cells and a kernel type estimator. inconsistency of the
natural estimator and weak consistency of the other two estimators is derived
by poissonization and other, new, technical devices.",what methods or approaches are used in this research?,"we review the performance of the natural estimator, an estimator
based on grouping the cells and a kernel type estimator.",arXiv,Scientific Abstract,436,53,121,0.2775229357798165,Какие методы или подходы используются в этих исследованиях?,"Мы проверяем эффективность естественного оценщика, оценщика, основанного на группировании клеток и оценщика типа ядра.","Мы рассматриваем оценку функции структурного распределения клеточной вероятности мультиномной выборки в ситуациях, когда количество клеток является большим. Мы анализируем эффективность естественной оценки, оценки на основе группирования клеток и оценки типа ядра. Несоответствие естественной оценки и слабое последовательность двух других оценочных параметров высвечивается путем паизоляции и других, новых, технических устройств.",что/какой
"we consider estimation of the structural distribution function of the cell
probabilities of a multinomial sample in situations where the number of cells
is large. we review the performance of the natural estimator, an estimator
based on grouping the cells and a kernel type estimator. inconsistency of the
natural estimator and weak consistency of the other two estimators is derived
by poissonization and other, new, technical devices.",what are the key findings or results of this research?,"inconsistency of the
natural estimator and weak consistency of the other two estimators is derived
by poissonization and other, new, technical devices.",arXiv,Scientific Abstract,436,54,151,0.3463302752293578,Каковы основные выводы или результаты этого исследования?,"Несопоставимость естественного оценочного устройства и низкая последовательность двух других оценочных параметров высвечивается на основе пузозонизации и других, новых, технических устройств.","Мы рассматриваем оценку функции структурного распределения клеточной вероятности мультиномной выборки в ситуациях, когда количество клеток является большим. Мы анализируем эффективность естественной оценки, оценки на основе группирования клеток и оценки типа ядра. Несоответствие естественной оценки и слабое последовательность двух других оценочных параметров высвечивается путем паизоляции и других, новых, технических устройств.",как
"we construct a density estimator and an estimator of the distribution
function in the uniform deconvolution model. the estimators are based on
inversion formulas and kernel estimators of the density of the observations and
its derivative. asymptotic normality and the asymptotic biases are derived.",what is the main topic of the paper titled 'combining kernel estimators in the uniform deconvolution problem'?,"we construct a density estimator and an estimator of the distribution
function in the uniform deconvolution model.",arXiv,Scientific Abstract,298,110,114,0.3825503355704698,"Что является главной темой документа, озаглавленной ""комбинирование оценок ядер в единообразной проблеме разложения""?",мы строим оценку плотности и оценку функции распределения в единообразной модели разложения.,Мы строим оценку плотности и оценку распределительной функции в единообразной модели разложения. Оценки основаны на формулах инверсии и оценках плотности ядер наблюдений и их производной. Асимптотическая нормальность и асимптотические отклонения получаются.,что/какой
"we construct a density estimator and an estimator of the distribution
function in the uniform deconvolution model. the estimators are based on
inversion formulas and kernel estimators of the density of the observations and
its derivative. asymptotic normality and the asymptotic biases are derived.",what methods or approaches are used in this research?,"the estimators are based on
inversion formulas and kernel estimators of the density of the observations and
its derivative.",arXiv,Scientific Abstract,298,53,123,0.412751677852349,Какие методы или подходы используются в этих исследованиях?,оценки основываются на формулах инверсии и оценках плотности наблюдений и их производной.,Мы строим оценку плотности и оценку распределительной функции в единообразной модели разложения. Оценки основаны на формулах инверсии и оценках плотности ядер наблюдений и их производной. Асимптотическая нормальность и асимптотические отклонения получаются.,что/какой
"we construct a density estimator and an estimator of the distribution
function in the uniform deconvolution model. the estimators are based on
inversion formulas and kernel estimators of the density of the observations and
its derivative. asymptotic normality and the asymptotic biases are derived.",what are the key findings or results of this research?,asymptotic normality and the asymptotic biases are derived.,arXiv,Scientific Abstract,298,54,59,0.19798657718120805,Каковы основные выводы или результаты этого исследования?,Асимптотическая нормальность и асимптотические отклонения получаются.,Мы строим оценку плотности и оценку распределительной функции в единообразной модели разложения. Оценки основаны на формулах инверсии и оценках плотности ядер наблюдений и их производной. Асимптотическая нормальность и асимптотические отклонения получаются.,как
"we derive asymptotic normality of kernel type deconvolution density
estimators. in particular we consider deconvolution problems where the known
component of the convolution has a symmetric lambda-stable distribution,
0<lambda<= 2. it turns out that the limit behavior changes if the exponent
parameter lambda passes the value one, the case of cauchy deconvolution.","what is the main topic of the paper titled 'asymptotic normality of nonparametric kernel type deconvolution density
  estimators: crossing the cauchy boundary'?","we derive asymptotic normality of kernel type deconvolution density
estimators.",arXiv,Scientific Abstract,365,160,79,0.21643835616438356,"Что является главной темой документа, озаглавленной ""Асимптотическая нормальность непараметрического типа ядра для оценки плотности: пересечение границы растяжения""?",Мы вычисляем асимптотичность нормальных оценок плотности ядра.,"Мы вычисляем асимптотивную нормальную нормальность оценки плотности ядер типа декоммуляционной плотности. В частности, мы рассматриваем проблемы деструкции, когда известный компонент созревания имеет симметричное лямбда-стабильное распределение, 0<lambda>= 2. Оказывается, что предельное поведение меняется, если параметр экспонентной лямбда переходит значение 1, в случае бандной декомпрессии.",что/какой
"we derive asymptotic normality of kernel type deconvolution density
estimators. in particular we consider deconvolution problems where the known
component of the convolution has a symmetric lambda-stable distribution,
0<lambda<= 2. it turns out that the limit behavior changes if the exponent
parameter lambda passes the value one, the case of cauchy deconvolution.",what methods or approaches are used in this research?,"in particular we consider deconvolution problems where the known
component of the convolution has a symmetric lambda-stable distribution,
0<lambda<= 2.",arXiv,Scientific Abstract,365,53,151,0.4136986301369863,Какие методы или подходы используются в этих исследованиях?,", в частности, мы рассматриваем проблемы деколовации, когда известный компонент слияния имеет симметричное лямбда-стабильное распределение, 0 <lambda>=2.","Мы вычисляем асимптотивную нормальную нормальность оценки плотности ядер типа декоммуляционной плотности. В частности, мы рассматриваем проблемы деструкции, когда известный компонент созревания имеет симметричное лямбда-стабильное распределение, 0<lambda>= 2. Оказывается, что предельное поведение меняется, если параметр экспонентной лямбда переходит значение 1, в случае бандной декомпрессии.",что/какой
"we derive asymptotic normality of kernel type deconvolution density
estimators. in particular we consider deconvolution problems where the known
component of the convolution has a symmetric lambda-stable distribution,
0<lambda<= 2. it turns out that the limit behavior changes if the exponent
parameter lambda passes the value one, the case of cauchy deconvolution.",what are the key findings or results of this research?,"it turns out that the limit behavior changes if the exponent
parameter lambda passes the value one, the case of cauchy deconvolution.",arXiv,Scientific Abstract,365,54,133,0.3643835616438356,Каковы основные выводы или результаты этого исследования?,"Оказалось, что ограничение поведения меняется, если параметр лямбда переходит значение 1, в случае декомпрессии.","Мы вычисляем асимптотивную нормальную нормальность оценки плотности ядер типа декоммуляционной плотности. В частности, мы рассматриваем проблемы деструкции, когда известный компонент созревания имеет симметричное лямбда-стабильное распределение, 0<lambda>= 2. Оказывается, что предельное поведение меняется, если параметр экспонентной лямбда переходит значение 1, в случае бандной декомпрессии.",как
"in this paper we will discuss a procedure to improve the usual estimator of a
linear functional of the unknown regression function in inverse nonparametric
regression models. in klaassen, lee, and ruymgaart (2001) it has been proved
that this traditional estimator is not asymptotically efficient (in the sense
of the h\'{a}jek - le cam convolution theorem) except, possibly, when the error
distribution is normal. since this estimator, however, is still root-n
consistent a procedure in bickel, klaassen, ritov, and wellner (1993) applies
to construct a modification which is asymptotically efficient. a self-contained
proof of the asymptotic efficiency is included.","what is the main topic of the paper titled 'asymptotically efficient estimation of linear functionals in inverse
  regression models'?","in this paper we will discuss a procedure to improve the usual estimator of a
linear functional of the unknown regression function in inverse nonparametric
regression models.",arXiv,Scientific Abstract,667,134,174,0.2608695652173913,"Что является главной темой документа, озаглавленной ""асимптотически эффективная оценка линейных функций обратно регрессионных моделей""?",в настоящем документе мы обсудим процедуру совершенствования обычной оценки линейной функции неустановленной регрессии в обратном непараметрических регрессионных моделях.,"в настоящем документе мы обсудим процедуру совершенствования обычного анализа линейной функции неустановленной функции регрессии в обратном непараметрическом регрессионном моделях. В клаассене, лие и руимгаарте (2001 год) было доказано, что этот традиционный оценочный параметр не является асимптотически эффективным (в смысле h\'a}jek - le cam convolution теорем), за исключением, возможно, тех случаев, когда распределение ошибок является нормальным. Поскольку эта оценка, однако, по-прежнему является последовательной, процедура в бикеле, клаассене, ритове и колодце (1993 год) применяется для построения модификации, которая асимптотично эффективна.",что/какой
"in this paper we will discuss a procedure to improve the usual estimator of a
linear functional of the unknown regression function in inverse nonparametric
regression models. in klaassen, lee, and ruymgaart (2001) it has been proved
that this traditional estimator is not asymptotically efficient (in the sense
of the h\'{a}jek - le cam convolution theorem) except, possibly, when the error
distribution is normal. since this estimator, however, is still root-n
consistent a procedure in bickel, klaassen, ritov, and wellner (1993) applies
to construct a modification which is asymptotically efficient. a self-contained
proof of the asymptotic efficiency is included.",what methods or approaches are used in this research?,"in klaassen, lee, and ruymgaart (2001) it has been proved
that this traditional estimator is not asymptotically efficient (in the sense
of the h\'{a}jek - le cam convolution theorem) except, possibly, when the error
distribution is normal.",arXiv,Scientific Abstract,667,53,239,0.3583208395802099,Какие методы или подходы используются в этих исследованиях?,"В Klaassen, Lee и Ruymgaart (2001) было доказано, что этот традиционный оценочный процесс не является асимптотически эффективным (в смысле h'ak - le cam convolution теорем), за исключением, возможно, тех случаев, когда распределение ошибок является нормальным.","в настоящем документе мы обсудим процедуру совершенствования обычного анализа линейной функции неустановленной функции регрессии в обратном непараметрическом регрессионном моделях. В клаассене, лие и руимгаарте (2001 год) было доказано, что этот традиционный оценочный параметр не является асимптотически эффективным (в смысле h\'a}jek - le cam convolution теорем), за исключением, возможно, тех случаев, когда распределение ошибок является нормальным. Поскольку эта оценка, однако, по-прежнему является последовательной, процедура в бикеле, клаассене, ритове и колодце (1993 год) применяется для построения модификации, которая асимптотично эффективна.",что/какой
"in this paper we will discuss a procedure to improve the usual estimator of a
linear functional of the unknown regression function in inverse nonparametric
regression models. in klaassen, lee, and ruymgaart (2001) it has been proved
that this traditional estimator is not asymptotically efficient (in the sense
of the h\'{a}jek - le cam convolution theorem) except, possibly, when the error
distribution is normal. since this estimator, however, is still root-n
consistent a procedure in bickel, klaassen, ritov, and wellner (1993) applies
to construct a modification which is asymptotically efficient. a self-contained
proof of the asymptotic efficiency is included.",what are the key findings or results of this research?,"a self-contained
proof of the asymptotic efficiency is included.",arXiv,Scientific Abstract,667,54,64,0.095952023988006,Каковы основные выводы или результаты этого исследования?,Включается автономное доказательство асимптотической эффективности.,"в настоящем документе мы обсудим процедуру совершенствования обычного анализа линейной функции неустановленной функции регрессии в обратном непараметрическом регрессионном моделях. В клаассене, лие и руимгаарте (2001 год) было доказано, что этот традиционный оценочный параметр не является асимптотически эффективным (в смысле h\'a}jek - le cam convolution теорем), за исключением, возможно, тех случаев, когда распределение ошибок является нормальным. Поскольку эта оценка, однако, по-прежнему является последовательной, процедура в бикеле, клаассене, ритове и колодце (1993 год) применяется для построения модификации, которая асимптотично эффективна.",как
"classical multiscale analysis based on wavelets has a number of successful
applications, e.g. in data compression, fast algorithms, and noise removal.
wavelets, however, are adapted to point singularities, and many phenomena in
several variables exhibit intermediate-dimensional singularities, such as
edges, filaments, and sheets. this suggests that in higher dimensions, wavelets
ought to be replaced in certain applications by multiscale analysis adapted to
intermediate-dimensional singularities.
  my lecture described various initial attempts in this direction. in
particular, i discussed two approaches to geometric multiscale analysis
originally arising in the work of harmonic analysts hart smith and peter jones
(and others): (a) a directional wavelet transform based on parabolic dilations;
and (b) analysis via anistropic strips. perhaps surprisingly, these tools have
potential applications in data compression, inverse problems, noise removal,
and signal detection; applied mathematicians, statisticians, and engineers are
eagerly pursuing these leads.",what is the main topic of the paper titled 'emerging applications of geometric multiscale analysis'?,"classical multiscale analysis based on wavelets has a number of successful
applications, e.g. in data compression, fast algorithms, and noise removal.",arXiv,Scientific Abstract,1066,100,150,0.14071294559099437,"какова основная тема документа, озаглавленная ""Начинающие применяться геометрический многомасштабный анализ""?","Классический многомасштабный анализ, основанный на волночках, имеет ряд успешных применений, например в области сжатия данных, быстрых алгоритмов и удаления шума.","Классический многомасштабный анализ, основанный на волнах, имеет ряд успешных применений, например, в сжатии данных, быстрых алгоритмах и удалении шума. Это говорит о том, что в более высоких измерениях в некоторых прикладных программах следует заменить волнилки многомерным анализом, адаптированным к промежуточным измерениям. Моя лекция описывает различные первоначальные попытки в этом направлении. , в частности, я обсудил два подхода к геометрическому многомасштабному анализу, который первоначально возник в работе гармонических аналитиков Хартсмит и Питера Джонса (и других): а) трансформация направления волн, основанная на параболических дилазиях; и b) анализ с помощью анистических полос. Возможно, удивительно, что эти инструменты могут быть использованы в целях сжатия данных, решения обратных проблем, устранения шума и обнаружения сигналов; прикладные математики, статистики и инженеры с нетерпением следят за этими зацепками.",как
"classical multiscale analysis based on wavelets has a number of successful
applications, e.g. in data compression, fast algorithms, and noise removal.
wavelets, however, are adapted to point singularities, and many phenomena in
several variables exhibit intermediate-dimensional singularities, such as
edges, filaments, and sheets. this suggests that in higher dimensions, wavelets
ought to be replaced in certain applications by multiscale analysis adapted to
intermediate-dimensional singularities.
  my lecture described various initial attempts in this direction. in
particular, i discussed two approaches to geometric multiscale analysis
originally arising in the work of harmonic analysts hart smith and peter jones
(and others): (a) a directional wavelet transform based on parabolic dilations;
and (b) analysis via anistropic strips. perhaps surprisingly, these tools have
potential applications in data compression, inverse problems, noise removal,
and signal detection; applied mathematicians, statisticians, and engineers are
eagerly pursuing these leads.",what methods or approaches are used in this research?,"wavelets, however, are adapted to point singularities, and many phenomena in
several variables exhibit intermediate-dimensional singularities, such as
edges, filaments, and sheets.",arXiv,Scientific Abstract,1066,53,180,0.16885553470919323,Какие методы или подходы используются в этих исследованиях?,"В то же время волнилки приспособлены к сингулярным точкам, и многие явления в нескольких переменных имеют промежуточные измерения, такие, как края, нити и листы.","Классический многомасштабный анализ, основанный на волнах, имеет ряд успешных применений, например, в сжатии данных, быстрых алгоритмах и удалении шума. Это говорит о том, что в более высоких измерениях в некоторых прикладных программах следует заменить волнилки многомерным анализом, адаптированным к промежуточным измерениям. Моя лекция описывает различные первоначальные попытки в этом направлении. , в частности, я обсудил два подхода к геометрическому многомасштабному анализу, который первоначально возник в работе гармонических аналитиков Хартсмит и Питера Джонса (и других): а) трансформация направления волн, основанная на параболических дилазиях; и b) анализ с помощью анистических полос. Возможно, удивительно, что эти инструменты могут быть использованы в целях сжатия данных, решения обратных проблем, устранения шума и обнаружения сигналов; прикладные математики, статистики и инженеры с нетерпением следят за этими зацепками.",что/какой
"classical multiscale analysis based on wavelets has a number of successful
applications, e.g. in data compression, fast algorithms, and noise removal.
wavelets, however, are adapted to point singularities, and many phenomena in
several variables exhibit intermediate-dimensional singularities, such as
edges, filaments, and sheets. this suggests that in higher dimensions, wavelets
ought to be replaced in certain applications by multiscale analysis adapted to
intermediate-dimensional singularities.
  my lecture described various initial attempts in this direction. in
particular, i discussed two approaches to geometric multiscale analysis
originally arising in the work of harmonic analysts hart smith and peter jones
(and others): (a) a directional wavelet transform based on parabolic dilations;
and (b) analysis via anistropic strips. perhaps surprisingly, these tools have
potential applications in data compression, inverse problems, noise removal,
and signal detection; applied mathematicians, statisticians, and engineers are
eagerly pursuing these leads.",what are the key findings or results of this research?,"perhaps surprisingly, these tools have
potential applications in data compression, inverse problems, noise removal,
and signal detection; applied mathematicians, statisticians, and engineers are
eagerly pursuing these leads.",arXiv,Scientific Abstract,1066,54,224,0.2101313320825516,Каковы основные выводы или результаты этого исследования?,"Возможно, удивительно, что эти инструменты могут быть использованы для сжатия данных, решения обратных проблем, устранения шума и обнаружения сигналов; прикладные математики, статистики и инженеры с нетерпением следят за этими зацепками.","Классический многомасштабный анализ, основанный на волнах, имеет ряд успешных применений, например, в сжатии данных, быстрых алгоритмах и удалении шума. Это говорит о том, что в более высоких измерениях в некоторых прикладных программах следует заменить волнилки многомерным анализом, адаптированным к промежуточным измерениям. Моя лекция описывает различные первоначальные попытки в этом направлении. , в частности, я обсудил два подхода к геометрическому многомасштабному анализу, который первоначально возник в работе гармонических аналитиков Хартсмит и Питера Джонса (и других): а) трансформация направления волн, основанная на параболических дилазиях; и b) анализ с помощью анистических полос. Возможно, удивительно, что эти инструменты могут быть использованы в целях сжатия данных, решения обратных проблем, устранения шума и обнаружения сигналов; прикладные математики, статистики и инженеры с нетерпением следят за этими зацепками.",как
"state space models have long played an important role in signal processing.
the gaussian case can be treated algorithmically using the famous kalman
filter. similarly since the 1970s there has been extensive application of
hidden markov models in speech recognition with prediction being the most
important goal. the basic theoretical work here, in the case $x$ and $y$ finite
(small) providing both algorithms and asymptotic analysis for inference is that
of baum and colleagues. during the last 30-40 years these general models have
proved of great value in applications ranging from genomics to finance.
  unless the $x,y$ are jointly gaussian or $x$ is finite and small the problem
of calculating the distributions discussed and the likelihood exactly are
numerically intractable and if $y$ is not finite asymptotic analysis becomes
much more difficult. some new developments have been the construction of
so-called ``particle filters'' (monte carlo type) methods for approximate
calculation of these distributions (see doucet et al. [4]) for instance and
general asymptotic methods for analysis of statistical methods in hmm [2] and
other authors.
  we will discuss these methods and results in the light of exponential mixing
properties of the conditional (posterior) distribution of $(x_1,x_2,...)$ given
$(y_1,y_2,...)$ already noted by baum and petrie and recent work of the authors
bickel, ritov and ryden, del moral and jacod, douc and matias.","what is the main topic of the paper titled 'hidden markov and state space models: asymptotic analysis of exact and
  approximate methods for prediction, filtering, smoothing and statistical
  inference'?",state space models have long played an important role in signal processing.,arXiv,Scientific Abstract,1454,203,75,0.0515818431911967,"Что является главной темой документа, озаглавленной ""Скрытые модели маркова и космических моделей состояния: асимптотический анализ точных и приблизительных методов прогнозирования, фильтрации, сглаживания и статистических выводов""?",Государственные космические модели уже давно играют важную роль в обработке сигналов.,"С 1970-х годов широко применяются скрытые модели маркова для распознавания речи, и наиболее важной целью является прогнозирование. Основная теоретическая работа здесь, в случае $x и $, конечных (малых) долларов, обеспечивающая оба алгоритма и асимптотический анализ для вывода, является теоретическая работа баума и коллег. В течение последних 30-40 лет эти общие модели доказали свою большую ценность в различных видах применения, начиная от геномики и кончая финансированием. Если $x, y$ являются совместно гауссианскими или х долл. является конечной и незначительной проблемой расчета обсуждавшихся распределения и вероятность того, что это точно невозможно в количественном отношении, и если $$ не является конечным асимптотическим анализом, становится гораздо труднее. (см. ducet et al. [4]), например, и общие асимптотические методы анализа статистических методов в hmm [2] и других авторах. Мы обсудим эти методы и результаты в свете экспоненциального смешивания условных (последних) свойств распределения $(x_1, x_2, . . . ) $(y_1,y_2, . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ) $, уже отмеченные баумом и Петри, и недавняя работа авторов bicel, ritev и ryden, del нравственные и jacod, duc and matias.",что/какой
"state space models have long played an important role in signal processing.
the gaussian case can be treated algorithmically using the famous kalman
filter. similarly since the 1970s there has been extensive application of
hidden markov models in speech recognition with prediction being the most
important goal. the basic theoretical work here, in the case $x$ and $y$ finite
(small) providing both algorithms and asymptotic analysis for inference is that
of baum and colleagues. during the last 30-40 years these general models have
proved of great value in applications ranging from genomics to finance.
  unless the $x,y$ are jointly gaussian or $x$ is finite and small the problem
of calculating the distributions discussed and the likelihood exactly are
numerically intractable and if $y$ is not finite asymptotic analysis becomes
much more difficult. some new developments have been the construction of
so-called ``particle filters'' (monte carlo type) methods for approximate
calculation of these distributions (see doucet et al. [4]) for instance and
general asymptotic methods for analysis of statistical methods in hmm [2] and
other authors.
  we will discuss these methods and results in the light of exponential mixing
properties of the conditional (posterior) distribution of $(x_1,x_2,...)$ given
$(y_1,y_2,...)$ already noted by baum and petrie and recent work of the authors
bickel, ritov and ryden, del moral and jacod, douc and matias.",what methods or approaches are used in this research?,"the gaussian case can be treated algorithmically using the famous kalman
filter.",arXiv,Scientific Abstract,1454,53,80,0.055020632737276476,Какие методы или подходы используются в этих исследованиях?,Гауссианский случай можно алгоритмно рассматривать с использованием известного кальманского фильтра.,"С 1970-х годов широко применяются скрытые модели маркова для распознавания речи, и наиболее важной целью является прогнозирование. Основная теоретическая работа здесь, в случае $x и $, конечных (малых) долларов, обеспечивающая оба алгоритма и асимптотический анализ для вывода, является теоретическая работа баума и коллег. В течение последних 30-40 лет эти общие модели доказали свою большую ценность в различных видах применения, начиная от геномики и кончая финансированием. Если $x, y$ являются совместно гауссианскими или х долл. является конечной и незначительной проблемой расчета обсуждавшихся распределения и вероятность того, что это точно невозможно в количественном отношении, и если $$ не является конечным асимптотическим анализом, становится гораздо труднее. (см. ducet et al. [4]), например, и общие асимптотические методы анализа статистических методов в hmm [2] и других авторах. Мы обсудим эти методы и результаты в свете экспоненциального смешивания условных (последних) свойств распределения $(x_1, x_2, . . . ) $(y_1,y_2, . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ) $, уже отмеченные баумом и Петри, и недавняя работа авторов bicel, ritev и ryden, del нравственные и jacod, duc and matias.",что/какой
"state space models have long played an important role in signal processing.
the gaussian case can be treated algorithmically using the famous kalman
filter. similarly since the 1970s there has been extensive application of
hidden markov models in speech recognition with prediction being the most
important goal. the basic theoretical work here, in the case $x$ and $y$ finite
(small) providing both algorithms and asymptotic analysis for inference is that
of baum and colleagues. during the last 30-40 years these general models have
proved of great value in applications ranging from genomics to finance.
  unless the $x,y$ are jointly gaussian or $x$ is finite and small the problem
of calculating the distributions discussed and the likelihood exactly are
numerically intractable and if $y$ is not finite asymptotic analysis becomes
much more difficult. some new developments have been the construction of
so-called ``particle filters'' (monte carlo type) methods for approximate
calculation of these distributions (see doucet et al. [4]) for instance and
general asymptotic methods for analysis of statistical methods in hmm [2] and
other authors.
  we will discuss these methods and results in the light of exponential mixing
properties of the conditional (posterior) distribution of $(x_1,x_2,...)$ given
$(y_1,y_2,...)$ already noted by baum and petrie and recent work of the authors
bickel, ritov and ryden, del moral and jacod, douc and matias.",what are the key findings or results of this research?,"  we will discuss these methods and results in the light of exponential mixing
properties of the conditional (posterior) distribution of $(x_1,x_2,...)$ given
$(y_1,y_2,...)$ already noted by baum and petrie and recent work of the authors
bickel, ritov and ryden, del moral and jacod, douc and matias.",arXiv,Scientific Abstract,1454,54,301,0.20701513067400276,Каковы основные выводы или результаты этого исследования?,"Мы обсудим эти методы и результаты в свете экспоненциального смешивания свойств условного (пастериор) распределения $(x_1, x_2,...) $ $(y_1,y_2,...) $, уже отмеченного баумом и Петри, и недавних работ авторов bickel, ritev и ryden, del нравственные и jacod, duc and matias.","С 1970-х годов широко применяются скрытые модели маркова для распознавания речи, и наиболее важной целью является прогнозирование. Основная теоретическая работа здесь, в случае $x и $, конечных (малых) долларов, обеспечивающая оба алгоритма и асимптотический анализ для вывода, является теоретическая работа баума и коллег. В течение последних 30-40 лет эти общие модели доказали свою большую ценность в различных видах применения, начиная от геномики и кончая финансированием. Если $x, y$ являются совместно гауссианскими или х долл. является конечной и незначительной проблемой расчета обсуждавшихся распределения и вероятность того, что это точно невозможно в количественном отношении, и если $$ не является конечным асимптотическим анализом, становится гораздо труднее. (см. ducet et al. [4]), например, и общие асимптотические методы анализа статистических методов в hmm [2] и других авторах. Мы обсудим эти методы и результаты в свете экспоненциального смешивания условных (последних) свойств распределения $(x_1, x_2, . . . ) $(y_1,y_2, . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ) $, уже отмеченные баумом и Петри, и недавняя работа авторов bicel, ritev и ryden, del нравственные и jacod, duc and matias.",как
